YEAR,NAME,VALUES
2023,Belgium,4.2
2023,Bulgaria,4.6
2023,Czechia,10.7
2023,Denmark,5.3
2023,Germany,9.5
2023,Estonia,4.1
2023,Ireland,4.2
2023,Greece,1.6
2023,Spain,4
2023,France,3.9
2023,Croatia,3.4
2023,Italy,6.2
2023,Cyprus,0.9
2023,Latvia,1.9
2023,Lithuania,2.7
2023,Luxembourg,0
2023,Hungary,8.9
2023,Malta,2.8
2023,Netherlands,2.9
2023,Austria,6.4
2023,Poland,5.3
2023,Portugal,3.8
2023,Romania,7
2023,Slovenia,8.6
2023,Slovakia,10.3
2023,Finland,5
2023,Sweden,4.7
2023,Iceland,1.8
2023,Liechtenstein,0
2023,Norway,2.2
2023,Switzerland,5.4
2023,United Kingdom,0
2023,Bosnia and Herzegovina,2.8
2023,Montenegro,0
2023,North Macedonia,0
2023,Albania,0
2023,Serbia,5.5
