,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
0,2024,SE,FT,AI Engineer,202730,USD,202730,US,on site,US,M
1,2024,SE,FT,AI Engineer,92118,USD,92118,US,on site,US,M
2,2024,SE,FT,Data Engineer,130500,USD,130500,US,on site,US,M
3,2024,SE,FT,Data Engineer,96000,USD,96000,US,on site,US,M
4,2024,SE,FT,ML Engineer,190000,USD,190000,US,on site,US,M
5,2024,SE,FT,ML Engineer,160000,USD,160000,US,on site,US,M
6,2024,MI,FT,ML Engineer,400000,USD,400000,US,on site,US,M
7,2024,MI,FT,ML Engineer,65000,USD,65000,US,on site,US,M
8,2024,EN,FT,Data Analyst,101520,USD,101520,US,on site,US,M
9,2024,EN,FT,Data Analyst,45864,USD,45864,US,on site,US,M
10,2024,SE,FT,Data Engineer,172469,USD,172469,US,on site,US,M
11,2024,SE,FT,Data Engineer,114945,USD,114945,US,on site,US,M
12,2024,EX,FT,NLP Engineer,200000,USD,200000,US,on site,US,M
13,2024,EX,FT,NLP Engineer,150000,USD,150000,US,on site,US,M
14,2024,MI,FT,Data Scientist,156450,USD,156450,US,remote,US,M
15,2024,MI,FT,Data Scientist,119200,USD,119200,US,remote,US,M
16,2024,SE,FT,Data Analyst,170000,USD,170000,US,on site,US,M
17,2024,SE,FT,Data Analyst,130000,USD,130000,US,on site,US,M
18,2024,SE,FT,Applied Scientist,222200,USD,222200,US,on site,US,L
19,2024,SE,FT,Applied Scientist,136000,USD,136000,US,on site,US,L
20,2024,MI,FT,Data Manager,128000,USD,128000,US,on site,US,M
21,2024,MI,FT,Data Manager,81500,USD,81500,US,on site,US,M
22,2024,SE,FT,Data Architect,93838,USD,93838,US,on site,US,M
23,2024,SE,FT,Data Architect,69535,USD,69535,US,on site,US,M
24,2024,EN,FT,Data Analyst,75000,USD,75000,US,on site,US,M
25,2024,EN,FT,Data Analyst,65000,USD,65000,US,on site,US,M
26,2024,MI,FT,Data Operations Manager,150000,USD,150000,US,on site,US,M
27,2024,MI,FT,Data Operations Manager,125000,USD,125000,US,on site,US,M
28,2024,MI,FT,Research Scientist,260570,USD,260570,US,on site,US,M
